Region,Winter,Spring,Summer,Autumn
Rainfall_Monteporzio,"[3.044, 4.364]","[0.761, 1.091]","[1.522, 2.182]","[2.283, 3.273]"
Rainfall_Velletri,"[3.415, 4.816]","[0.854, 1.204]","[1.708, 2.408]","[2.562, 3.612]"
Volume_Pozzo_1,"[1180.588, 2678.48]","[295.147, 669.62]","[590.294, 1339.24]","[885.441, 2008.86]"
Volume_Pozzo_2,"[3582.7, 5506.575]","[895.675, 1376.644]","[1791.35, 2753.287]","[2687.025, 4129.931]"
Volume_Pozzo_3,"[3249.697, 5527.544]","[812.424, 1381.886]","[1624.849, 2763.772]","[2437.273, 4145.658]"
Volume_Pozzo_4,"[3695.168, 5615.466]","[923.792, 1403.866]","[1847.584, 2807.733]","[2771.376, 4211.599]"
Volume_Pozzo_5+6,"[6904.481, 10799.117]","[1726.12, 2699.779]","[3452.241, 5399.559]","[5178.361, 8099.338]"
Volume_Pozzo_7,"[2592.443, 4009.952]","[648.111, 1002.488]","[1296.222, 2004.976]","[1944.333, 3007.464]"
Volume_Pozzo_8,"[3830.988, 5793.899]","[957.747, 1448.475]","[1915.494, 2896.95]","[2873.241, 4345.424]"
Volume_Pozzo_9,"[3401.738, 5294.93]","[850.434, 1323.732]","[1700.869, 2647.465]","[2551.303, 3971.197]"
Temperature_Monteporzio,"[13.428, 18.996]","[3.357, 4.749]","[6.714, 9.498]","[10.071, 14.247]"
Temperature_Velletri,"[15.851, 21.945]","[3.963, 5.486]","[7.926, 10.972]","[11.889, 16.459]"
